epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3553,1.72685,3.12148,2.25787,0.71637,0.55777,0.61872,0.50193,0.99614,0.97488,1.08865,0,0,0
2,27.7514,1.3564,2.63922,1.59836,0.75933,0.55757,0.61877,0.50243,0.99701,0.9764,1.08962,1.07219e-06,1.07219e-06,1.07219e-06
3,38.4025,1.58226,2.03925,1.60286,0.71728,0.55625,0.61927,0.50283,0.99705,0.97513,1.08895,1.90876e-06,1.90876e-06,1.90876e-06
4,48.4113,2.14203,3.70733,2.32581,0.71694,0.55657,0.61931,0.50463,1.00134,0.97525,1.0906,2.50971e-06,2.50971e-06,2.50971e-06
5,62.0231,1.86966,3.84284,2.0705,0.75996,0.55662,0.61978,0.50596,1.00908,0.97221,1.09448,2.87504e-06,2.87504e-06,2.87504e-06
6,74.2563,1.74857,3.03951,1.85432,0.76186,0.55647,0.61978,0.50669,1.01113,0.976,1.09557,3.00475e-06,3.00475e-06,3.00475e-06
7,84.4541,1.39155,3.03937,1.85939,0.7624,0.55704,0.61961,0.50426,1.01111,0.97406,1.0947,2.89884e-06,2.89884e-06,2.89884e-06
8,95.3941,1.8449,2.26141,2.17952,0.72248,0.55568,0.61965,0.50293,1.01173,0.97456,1.09459,2.55731e-06,2.55731e-06,2.55731e-06
9,106.749,1.31324,1.99011,1.6199,0.76783,0.55526,0.61962,0.50235,1.01408,0.97601,1.09448,1.98016e-06,1.98016e-06,1.98016e-06
10,117.906,1.88239,2.88031,2.05809,0.76925,0.55599,0.61961,0.50084,1.01676,0.97837,1.09506,1.16739e-06,1.16739e-06,1.16739e-06
